feature,modeling_type,description,category,feature_group
user_id,ключ,ID клиента (синтетический),ключ,
app_children_cnt,numerical,Количество детей,Соцдем,Депозиты/Зарплаты/Анкеты
app_dependent_cnt,numerical,Количество иждивенцев,Соцдем,Депозиты/Зарплаты/Анкеты
app_family_cnt,numerical,Количество членов семьи,Соцдем,Депозиты/Зарплаты/Анкеты
app_income_app,numerical,Доход клиента анкетный среднемесячный,Соцдем,Депозиты/Зарплаты/Анкеты
app_real_estate_ind,categorical,Наличие недвижимости,Соцдем,Депозиты/Зарплаты/Анкеты
app_vehicle_ind,categorical,Наличие авто,Соцдем,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_12month_amt,numerical,"Средний остаток по всем счетам клиента за последние 12 мес, руб  (по всем счетам). Средний за период (12мес)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_12month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 12 мес, руб (только срочные депозиты). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_12month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам  клиента за последние 12 мес, руб (срочные+накопительные). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_1month_amt,numerical,"Средний остаток по всем счетам клиента за последний месяц, руб (по всем счетам). Средний за период (месяц)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_1month_amt_term,numerical,"Средний остаток по срочным депозитам  клиента за последний месяц, руб (только срочные депозиты). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_1month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам клиента за последний месяц, руб (срочные+накопительные). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_3month_amt,numerical,"Средний остаток по всем счетам клиента за последние 3 мес, руб (по всем счетам). Средний за период ( 3 мес)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_3month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 3 мес, руб (только срочные депозиты). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_3month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам клиента за последние 3 мес, руб (срочные+накопительные). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_6month_amt,numerical,"Средний остаток по всем счетам клиента за последние 6 мес, руб  (по всем счетам). Средний за период (6мес)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_6month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 6 мес, руб (только срочные депозиты). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_6month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам  клиента за последние 6 мес, руб (срочные+накопительные). Средний за период",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_12month_amt,numerical,"Средний остаток по всем счетам клиента за последние 12 мес, руб  (по всем счетам). Средний, когда остаток > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_12month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 12 мес, руб (только срочные депозиты). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_12month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам  клиента за последние 12 мес, руб (срочные+накопительные). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_1month_amt,numerical,"Средний остаток по всем счетам клиента за последний месяц, руб (по всем счетам). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_1month_amt_term,numerical,"Средний остаток по срочным депозитам  клиента за последний месяц, руб (только срочные депозиты)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_1month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам  клиента за последний месяц, руб (срочные+накопительные)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_3month_amt,numerical,"Средний остаток по всем счетам клиента за последние 3 мес, руб (по всем счетам). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_3month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 3 мес, руб (только срочные депозиты). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_3month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам клиента за последние 3 мес, руб (срочные+накопительные). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_6month_amt,numerical,"Средний остаток по всем счетам клиента за последние 6 мес, руб  (по всем счетам). Средний, когда остаток > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_6month_amt_term,numerical,"Средний остаток по срочным депозитам клиента за последние 6 мес, руб (только срочные депозиты). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_dep_avg_balance_fact_6month_amt_term_savings,numerical,"Средний остаток по срочным депозитам  и накопительным счетам  клиента за последние 6 мес, руб (срочные+накопительные). Средний, когда остаток был > 0 в течение периода",Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_sum_cls2op,numerical,Среднее отношение суммы депозита при закрытии договора к сумме при открытии (только по срочным депозитам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
avg_sum_nws2op,numerical,Среднее отношение текущей суммы депозита к сумме при открытии (только по срочным депозитам),Депозиты и счета,Депозиты/Зарплаты/Анкеты
brand_nm,categorical,Бренд авто,Соцдем,Депозиты/Зарплаты/Анкеты
cnt_account_5y,numerical,"Количество бессрочных депозитов (""до востребования"") за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_dep_5y,numerical,"Количество срочных депозитов (т.е. имеющих срок, не ""до востребования""), открытых за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_dep_6m,numerical,"Количество срочных депозитов (т.е. имеющих срок, не ""до востребования""), открытых за последние 6 месяцев",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_dep_act,numerical,"Количество активных срочных депозитов, имеющих текущий остаток более 1000р",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_dep_closed_5y,numerical,"Количество срочных депозитов, открытых за последние 5 лет, и закрытых на текущий момент",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_early_withdraw_5y,numerical,"Количество срочных депозитов, изъятых досрочно (среди открытых за последние 5 лет)",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_foreign_cur_5y,numerical,Количество срочных депозитов в иностранной валюте за последние 5 лет,Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_grow_5y,numerical,"Количество срочных депозитов, где отсутствует возможность снятия, но есть пополнение денег (Пополнять) за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_manage_5y,numerical,"Количество срочных депозитов, где есть возможносьт и снятия, и пополнения денег (Управлять) за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_prolong_max,numerical,Максимальное количество пролонгаций по всем срочным депозитам,Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_prolong_max_5y,numerical,"Максимальное количество пролонгаций по всем срочным депозитам, открытым в последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_save_5y,numerical,"Количество срочных депозитов, где отсутствует возможность снятия и пополнения денег (Сберегать) за последние 5 лет",Депозиты и счета,Депозиты/Зарплаты/Анкеты
cnt_term_g1y,numerical,"Количество срочных депозитов,открытых за последние 5 лет, имеющих фактический срок больше года",Депозиты и счета,Депозиты/Зарплаты/Анкеты
current_work_experience_nm,categorical,Стаж на последнем месте работы,Соцдем,Депозиты/Зарплаты/Анкеты
customer_age,numerical,Возраст заемщика,Соцдем,Депозиты/Зарплаты/Анкеты
dep_avg_term_active,numerical,Средний фактический срок жизни в месяцах по активным срочным депозитам (с учётом пролонгаций),Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_avg_term_closed,numerical,Средний фактический срок жизни в месяцах по закрытым срочным депозитам (с учётом пролонгаций),Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_first_close_m,numerical,"Срок (в месяцах), прошедший с даты закрытия первого срочного депозита",Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_first_open_m,numerical,"Срок (в месяцах), прошедший с даты открытия первого срочного депозита",Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_last_close_m,numerical,"Срок (в месяцах), прошедший с даты закрытия последнего срочного депозита",Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_last_open_m,numerical,"Срок (в месяцах), прошедший с даты открытия последнего срочного депозита",Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_max_d_term,numerical,Максимальный срок срочного вклада (по плановой дате),Депозиты и счета,Депозиты/Зарплаты/Анкеты
dep_min_d_term,numerical,Минимальный срок срочного вклада (по плановой дате),Депозиты и счета,Депозиты/Зарплаты/Анкеты
gender_nm,categorical,Пол,Соцдем,Депозиты/Зарплаты/Анкеты
income_unverified,numerical,Неподтвержденный доход из заявки/анкеты,Соцдем,Депозиты/Зарплаты/Анкеты
income_verified,numerical,Подтвержденный доход из заявки/анкеты,Соцдем,Депозиты/Зарплаты/Анкеты
income_verified_ndfl,numerical,Подтвержденный доход по справке 2-НДФЛ из заявки/анкеты,Соцдем,Депозиты/Зарплаты/Анкеты
income_verified_other,numerical,"Иной подтвержденный доход ('ДОПОЛНИТЕЛЬНЫЙ', 'ПЕНСИЯ', 'СДАЧА В АРЕНДУ', 'АЛИМЕНТЫ',  'СТИПЕНДИИ')",Соцдем,Депозиты/Зарплаты/Анкеты
